date,ticker,ibs,signal,size,ref_price
2026-07-30,TQQQ,0.8258,SELL,0.5554,63.3000
2026-07-30,SPXL,0.9220,SELL,1.0000,262.9100
2026-07-31,TQQQ,0.5097,SELL,0.5649,64.6200
2026-07-31,SPXL,0.8311,SELL,1.0000,268.2000
2026-08-03,TQQQ,0.8991,SELL,0.5575,67.9600
2026-08-03,SPXL,0.9050,SELL,0.9989,279.6800
2026-08-04,TQQQ,0.8878,SELL,0.5104,74.8200
2026-08-04,SPXL,0.8323,SELL,0.9181,294.5600
2026-08-05,TQQQ,0.0279,BUY,0.5061,72.8400
2026-08-05,SPXL,0.0414,BUY,0.9206,292.8500
2026-08-06,TQQQ,0.5701,SELL,0.5194,72.0300
2026-08-06,SPXL,0.2013,HOLD,0.9322,291.2000
